"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"1621","Art Nirman Ltd","ARTNIRMAN","P&F | F.A","19.99%","92.12","280,984"
"1665","SEL Manufacturing Company Ltd","SELMC","P&F | F.A","19.99%","81.1","394,341"
"1759","Incredible Industries Ltd","INCREDIBLE","P&F | F.A","16.35%","61.69","913,463"
"1700","Rajdarshan Industries Ltd","ARENTERP","P&F | F.A","15.03%","75.16","677,499"
"317","Symphony Limited","SYMPHONY","P&F | F.A","12.73%","1689.7","1,491,641"
"87","Basf India Limited","BASF","P&F | F.A","12.22%","7780.6","445,647"
"1122","SRM Contractors Ltd","SRM","P&F | F.A","10.59%","287.75","442,462"
"1468","Goldstone Technologies Limited","GOLDTECH","P&F | F.A","10.11%","135","93,694"
"908","Tara Chand Logistic Solutions Ltd","TARACHAND","P&F | F.A","10%","444.55","69,259"
"1774","Shivam Autotech Limited","SHIVAMAUTO","P&F | F.A","9.99%","58.89","1,746,743"
"823","Itd Cementation India Limited","ITDCEM","P&F | F.A","9.54%","529","3,804,830"
"963","Ramco Systems Limited","RAMCOSYS","P&F | F.A","8.96%","398.8","318,312"
"1803","Db (international) Stock Brokers Limited","DBSTOCKBRO","P&F | F.A","8.96%","53.26","212,968"
"1492","AAA Technologies Ltd","AAATECH","P&F | F.A","8.72%","128.5","213,850"
"1810","Oswal Green Tech Ltd","OSWALGREEN","P&F | F.A","8.62%","51.92","6,678,572"
"225","BSE (Bombay stock exchange)","BSE","P&F | F.A","7.67%","2582.5","1,781,693"
"768","Balu Forge Industries Ltd","BALUFORGE","P&F | F.A","7.66%","575.5","976,874"
"1262","Kirloskar Electric Company Limited","KECL","P&F | F.A","7.58%","216.05","916,876"
"168","V-mart Retail Limited","VMART","P&F | F.A","7.57%","3732","42,499"
"1038","Platinum Industries Ltd","PLATIND","P&F | F.A","7.52%","342.35","861,296"
"1132","Gujarat Apollo Industries Limited","GUJAPOLLO","P&F | F.A","7.22%","281.35","17,627"
"1138","Laxmi Organic Industries Ltd","LXCHEM","P&F | F.A","7.17%","275.15","5,996,510"
"335","Route Mobile Ltd","ROUTE","P&F | F.A","7.06%","1606.55","496,833"
"1487","Mufin Green Finance Ltd","MUFIN","P&F | F.A","6.57%","129.77","305,286"
"240","Venky's (india) Limited","VENKEYS","P&F | F.A","6.5%","2334","901,816"
"489","JITF Infra Logistics Ltd","JITFINFRA","P&F | F.A","6.34%","1002.1","98,536"
"678","Triveni Turbine Limited","TRITURBINE","P&F | F.A","6.34%","679","2,760,151"
"1191","Chamanlal Setia Exports Ltd","CLSEL","P&F | F.A","6.3%","249.14","724,452"
"1636","Nupur Recyclers Ltd","NRL","P&F | F.A","6.23%","88.81","105,375"
"1612","VL E-Governance & IT Solutions Ltd","VLEGOV","P&F | F.A","6.17%","93.6","1,528,189"
"286","Gravita India Limited","GRAVITA","P&F | F.A","6.05%","1872.65","306,259"
"827","Oriental Aromatics Ltd","OAL","P&F | F.A","6.05%","525.1","530,319"
"1796","Oswal Agro Mills Ltd","OSWALAGRO","P&F | F.A","5.83%","55","669,488"
"1213","Kamat Hotels (i) Limited","KAMATHOTEL","P&F | F.A","5.75%","239.84","144,701"
"1601","Tata Teleservices (maharashtra) Limited","TTML","P&F | F.A","5.7%","97.03","14,027,141"
"458","Authum Investment & Infrastructure Ltd","AIIL","P&F | F.A","5.67%","1139.9","441,930"
"1003","Poonawalla Fincorp Ltd","POONAWALLA","P&F | F.A","5.6%","371.55","1,959,783"
"455","Dcm Shriram Limited","DCMSHRIRAM","P&F | F.A","5.53%","1151.6","356,389"
"730","Hercules Hoists Limited","HERCULES","P&F | F.A","5.52%","623.4","157,506"
"154","Vadilal Industries Limited","VADILALIND","P&F | F.A","5.42%","4187","22,235"
"428","Agarwal Industrial Corporation Limited","AGARIND","P&F | F.A","5.38%","1238.95","113,689"
"1077","R K Swamy Ltd","RKSWAMY","P&F | F.A","5.38%","313.55","261,732"
"1644","Paramount Communications Limited","PARACABLES","P&F | F.A","5.18%","85.84","3,233,986"
"565","EMSLIMITED","EMSLIMITED","P&F | F.A","5.08%","865.95","1,051,030"
"249","Bombay Burmah Trading Corporation Limited","BBTC","P&F | F.A","5.02%","2250.6","164,877"
"636","Websol Energy System Limited","WEBELSOLAR","P&F | F.A","5%","736.55","365,551"
"1131","Marine Electricals (India) Ltd","MARINE","P&F | F.A","5%","281.45","374,604"
"1298","Spml Infra Limited","SPMLINFRA","P&F | F.A","5%","203.91","104,848"
"1588","Cupid Limited","CUPID","P&F | F.A","5%","100.62","290,212"
"635","Kernex Microsystems (india) Limited","KERNEX","P&F | F.A","4.99%","737","224,625"
"884","Mangalam Organics Ltd","MANORG","P&F | F.A","4.99%","471.35","10,226"
"1080","Gallantt Metal Limited","GALLANTT","P&F | F.A","4.99%","311.6","35,890"
"1194","Thomas Scott (india) Limited","THOMASCOTT","P&F | F.A","4.99%","248.15","201"
"1420","Intense Technologies Ltd","INTENTECH","P&F | F.A","4.99%","154.94","20,102"
"499","S J S Enterprises Ltd","SJS","P&F | F.A","4.95%","995.7","213,529"
"1184","Kriti Industries (India) Ltd","KRITI","P&F | F.A","4.94%","251.92","216,690"
"559","Arrow Greentech Limited","ARROWGREEN","P&F | F.A","4.92%","873.8","179,988"
"1602","Manaksia Limited","MANAKSIA","P&F | F.A","4.92%","97","97,001"
"417","Alembic Pharmaceuticals Limited","APLLTD","P&F | F.A","4.89%","1280","207,052"
"308","Zen Technologies Limited","ZENTEC","P&F | F.A","4.8%","1724.95","537,290"
"426","Just Dial Limited","JUSTDIAL","P&F | F.A","4.75%","1239.25","359,819"
"144","Computer Age Management Services Ltd","CAMS","P&F | F.A","4.72%","4329.05","632,698"
"961","Borosil Ltd","BOROLTD","P&F | F.A","4.72%","400.85","901,694"
"990","Jindal Worldwide Limited","JINDWORLD","P&F | F.A","4.58%","379","50,574"
"1228","Hexa Tradex Limited","HEXATRADEX","P&F | F.A","4.53%","231.84","21,978"
"553","Windlas Biotech Ltd","WINDLAS","P&F | F.A","4.52%","879.8","65,804"
"1712","Suzlon Energy Limited","SUZLON","P&F | F.A","4.51%","72.72","105,218,159"
"350","Jubilant Industries Limited","JUBLINDS","P&F | F.A","4.5%","1538","6,791"
"1354","Rudrabhishek Enterprises Ltd","REPL","P&F | F.A","4.34%","181","12,579"
"771","Shivalik Bimetal Controls Ltd","SBCL","P&F | F.A","4.33%","574.05","358,845"
"1037","D.b.corp Limited","DBCORP","P&F | F.A","4.32%","342.95","104,323"
"1134","Vishnu Prakash R Punglia Ltd","VPRPL","P&F | F.A","4.25%","281","1,445,041"
"542","MSTC Ltd","MSTCLTD","P&F | F.A","4.24%","898.85","240,016"
"614","AGI Greenpac Ltd","AGI","P&F | F.A","4.24%","782.3","76,253"
"1396","Greaves Cotton Limited","GREAVESCOT","P&F | F.A","4.22%","165.09","1,999,834"
"684","Tips Industries Limited","TIPSINDLTD","P&F | F.A","4.21%","673.65","494,863"
"258","Sky Gold Ltd","SKYGOLD","P&F | F.A","4.17%","2112.05","31,897"
"470","Maithan Alloys Limited","MAITHANALL","P&F | F.A","4.05%","1064.8","24,069"
"231","Central Depository Services Ltd","CDSL","P&F | F.A","3.96%","2442","1,154,916"
"1685","Nitco Limited","NITCO","P&F | F.A","3.91%","77.9","152,058"
"696","Loyal Textile Mills Ltd","LOYALTEX","P&F | F.A","3.9%","663.05","2,716"
"402","Va Tech Wabag Limited","WABAG","P&F | F.A","3.86%","1322.5","263,034"
"822","Anant Raj Limited","ANANTRAJ","P&F | F.A","3.86%","529.3","583,748"
"477","360 ONE WAM Ltd","360ONE","P&F | F.A","3.84%","1039.6","95,558"
"1376","Gpt Infraprojects Limited","GPTINFRA","P&F | F.A","3.84%","172.01","149,486"
"1391","Windsor Machines Limited","WINDMACHIN","P&F | F.A","3.71%","167","41,940"
"453","Strides Shasun Limited","STAR","P&F | F.A","3.7%","1156.2","188,477"
"877","R Systems International Limited","RSYSTEMS","P&F | F.A","3.69%","482.45","93,133"
"1378","Bhageria Industries Limited","BHAGERIA","P&F | F.A","3.67%","171.41","52,648"
"1328","Kothari Products Limited","KOTHARIPRO","P&F | F.A","3.64%","190.55","16,228"
"473","Senco Gold Ltd","SENCO","P&F | F.A","3.62%","1052.4","134,980"
"1543","Balaxi Ventures Ltd","BALAXI","P&F | F.A","3.56%","113.16","22,315"
"928","Huhtamaki India Ltd","HUHTAMAKI","P&F | F.A","3.55%","421.6","656,365"
"204","Glaxosmithkline Pharmaceuticals Limited","GLAXO","P&F | F.A","3.53%","2920","42,040"
"1616","Pc Jeweller Limited","PCJEWELLER","P&F | F.A","3.53%","93.21","2,359,023"
"391","Metro Brands Ltd","METROBRAND","P&F | F.A","3.5%","1355.05","79,643"
"810","Max Estates Ltd","MAXESTATES","P&F | F.A","3.48%","545.95","135,156"
"1361","Trejhara Solutions Ltd","TREJHARA","P&F | F.A","3.48%","178","731"
"1725","Hov Services Limited","HOVS","P&F | F.A","3.47%","69.79","15,653"
"502","Credit Analysis And Research Limited","CARERATING","P&F | F.A","3.46%","990.45","39,764"
"586","Schneider Electric Infrastructure Limited","SCHNEIDER","P&F | F.A","3.43%","827","152,442"
"1316","Bombay Super Hybrid Seeds Ltd","BSHSL","P&F | F.A","3.42%","194.68","32,856"
"1778","Orissa Bengal Carrier Ltd","OBCL","P&F | F.A","3.41%","58.5","24,028"
"597","Sundaram Brake Linings Limited","SUNDRMBRAK","P&F | F.A","3.4%","809.95","1,062"
"1738","Barak Valley Cements Limited","BVCL","P&F | F.A","3.37%","67.46","8,536"
"451","Eris Lifesciences","ERIS","P&F | F.A","3.35%","1159.4","76,675"
